layer,name,acc,f1
1,LinearSVC,0.984,0.9840272142621347
1,LogisticRegression,0.983,0.9830345683728038
1,Ridge,0.983,0.9830121796152105
1,ExtraTrees,0.976,0.9759942682892977
1,RandomForest,0.973,0.973010531944567
1,MultinomialNB,0.962,0.9620765759338135
1,ComplementNB,0.953,0.9530951167150598
2,C2D: Voting Hard(SVC+LR+Ridge),0.983,0.9830345683728038
2,C2A: Bagging(LR+SVC)->Voting Soft,0.979,0.9790087389888565
2,C2C: Stacking(RF+ET->LR),0.978,0.9780027857266798
2,C2B: Voting Soft(NB+CNB+Ridge),0.968,0.968063439672951
2,C2E: Bagging(NB+CNB)->Voting Soft,0.958,0.9581152883781638
3,C3B: Bagging(Stacking),0.974,0.9739928719877248
3,C3C: Voting Soft(C2B+C2E),0.964,0.9640650372486964
3,C3A: Stacking(C2A+C2B->LR),0.759,0.7423330208000541
4,C4B: Meta Stacking(->LR),0.981,0.9810151076820433
4,C4A: Meta Voting Soft(C3A+C3B+C3C),0.979,0.9790467885578752
4,C4C: Meta Voting Hard(C3s+C2C),0.977,0.9769846912098956
5,C5A: Meta2 Voting Soft(C4A+C4B+C4C),0.983,0.9830099302149534
5,C5B: Meta2 Stacking(->LR),0.981,0.9810064958158082
5,C5C: Meta2 Voting Hard(C4s),0.98,0.9800192532962682
6,C6A: Final Stacking(->LR),0.982,0.9820025528829883
6,C6B: Final Voting Soft(C5s),0.981,0.981020576374718
6,C6C: Final Voting Hard(C5s+C4B),0.981,0.9810064958158082
